"Year","Neighbourhood","Crimes"
2009-01-01,"Mount Royal  (NBHD)",1269
2009-01-01,"Caswell Hill  (NBHD)",1252
2009-01-01,"Nutana  (NBHD)",1163
2009-01-01,"Confederation Park  (NBHD)",1021
2009-01-01,"Mayfair  (NBHD)",1010
2009-01-01,"Westmount  (NBHD)",1004
2009-01-01,"City Park  (NBHD)",891
2009-01-01,"Meadowgreen  (NBHD)",880
2009-01-01,"Sutherland  (NBHD)",844
2009-01-01,"Wildwood  (NBHD)",776
2009-01-01,"Massey Place  (NBHD)",692
2009-01-01,"College Park  (NBHD)",651
2009-01-01,"Airport Business Area  (NBHD)",648
2009-01-01,"North Industrial  (NBHD)",629
2009-01-01,"King George  (NBHD)",617
2009-01-01,"Greystone Heights  (NBHD)",596
2009-01-01,"Varsity View  (NBHD)",589
2009-01-01,"Kelsey - Woodlawn  (NBHD)",586
2009-01-01,"Fairhaven  (NBHD)",578
2009-01-01,"Silverwood Heights  (NBHD)",535
2009-01-01,"Holliston  (NBHD)",527
2009-01-01,"Pacific Heights  (NBHD)",505
2009-01-01,"Parkridge  (NBHD)",485
2009-01-01,"Exhibition  (NBHD)",472
2009-01-01,"Dundonald  (NBHD)",470
2009-01-01,"Brevoort Park  (NBHD)",466
2009-01-01,"Haultain  (NBHD)",455
2009-01-01,"Buena Vista  (NBHD)",433
2009-01-01,"Forest Grove  (NBHD)",433
2009-01-01,"Westview  (NBHD)",428
2009-01-01,"Hudson Bay Park  (NBHD)",414
2009-01-01,"U of S Mgmt Area  (NBHD)",390
2009-01-01,"Central Industrial  (NBHD)",382
2009-01-01,"Lakeview  (NBHD)",367
2009-01-01,"Queen Elizabeth  (NBHD)",354
2009-01-01,"Lawson Heights Suburban Centre  (NBHD)",353
2009-01-01,"Hudson Bay Industrial  (NBHD)",342
2009-01-01,"Nutana Suburban Centre  (NBHD)",340
2009-01-01,"River Heights  (NBHD)",327
2009-01-01,"Stonebridge  (NBHD)",327
2009-01-01,"Adelaide/Churchill  (NBHD)",326
2009-01-01,"Avalon  (NBHD)",310
2009-01-01,"College Park East  (NBHD)",302
2009-01-01,"Grosvenor Park  (NBHD)",278
2009-01-01,"Holiday Park  (NBHD)",256
2009-01-01,"Lawson Heights  (NBHD)",251
2009-01-01,"North Park  (NBHD)",250
2009-01-01,"University Heights Suburban Centre  (NBHD)",245
2009-01-01,"Eastview  (NBHD)",242
2009-01-01,"Briarwood  (NBHD)",213
2009-01-01,"Marquis Industrial  (NBHD)",193
2009-01-01,"Arbor Creek  (NBHD)",189
2009-01-01,"Nutana Park  (NBHD)",189
2009-01-01,"Agriplace  (NBHD)",188
2009-01-01,"Lakeridge  (NBHD)",186
2009-01-01,"Willowgrove  (NBHD)",186
2009-01-01,"Silverspring  (NBHD)",177
2009-01-01,"Erindale  (NBHD)",171
2009-01-01,"Montgomery Place  (NBHD)",160
2009-01-01,"Sutherland Industrial  (NBHD)",143
2009-01-01,"Hampton Village  (NBHD)",141
2009-01-01,"Lakewood Suburban Centre  (NBHD)",140
2009-01-01,"West Industrial  (NBHD)",118
2009-01-01,"South West Industrial  (NBHD)",102
2009-01-01,"U of S Lands - South Mgmt Area  (NBHD)",86
2009-01-01,"CN Industrial  (NBHD)",78
2009-01-01,"U of S Lands - North Mgmt Area  (NBHD)",66
2009-01-01,"Blairmore Development Area  (NBHD)",60
2009-01-01,"Richmond Heights  (NBHD)",47
2009-01-01,"Blairmore Suburban Centre  (NBHD)",32
2009-01-01,"Airport Mgmt Area  (NBHD)",28
2009-01-01,"Gordie Howe Mgmt Area  (NBHD)",16
2009-01-01,"The Willows  (NBHD)",16
2009-01-01,"Diefenbaker Mgmt Area  (NBHD)",14
2009-01-01,"Agpro Industrial  (NBHD)",12
2009-01-01,"CN Yards Mgmt Area  (NBHD)",8
2009-01-01,"Rosewood  (NBHD)",2
2009-01-01,"SaskPower Mgmt Area  (NBHD)",0
2009-01-01,"SE Development Area  (NBHD)",0
2009-01-01,"University Heights Development Area  (NBHD)",0
2009-01-01,"Silverwood Industrial  (NBHD)",0
2010-01-01,"Central Business District  (NBHD)",2774
2010-01-01,"Pleasant Hill  (NBHD)",2324
2010-01-01,"Caswell Hill  (NBHD)",1443
2010-01-01,"Riversdale  (NBHD)",1179
2010-01-01,"Confederation Suburban Centre  (NBHD)",1132
2010-01-01,"Mount Royal  (NBHD)",1009
2010-01-01,"Nutana  (NBHD)",934
2010-01-01,"Confederation Park  (NBHD)",919
2010-01-01,"Mayfair  (NBHD)",862
2010-01-01,"Meadowgreen  (NBHD)",832
2010-01-01,"City Park  (NBHD)",826
2010-01-01,"Westmount  (NBHD)",812
2010-01-01,"Greystone Heights  (NBHD)",752
2010-01-01,"Sutherland  (NBHD)",719
2010-01-01,"Wildwood  (NBHD)",649
2010-01-01,"Massey Place  (NBHD)",643
2010-01-01,"North Industrial  (NBHD)",574
2010-01-01,"King George  (NBHD)",544
2010-01-01,"College Park  (NBHD)",540
